Code,DATA,SOFT,DEVO,CYBR,CLOU
AIDE,1,0,0,0,0
ANCC,1,0,0,0,0
ARCH,1,1,1,1,1
ASMG,0,0,0,1,0
ASUP,0,1,0,0,0
AUDT,1,0,0,1,0
AVMT,1,0,0,0,0
BENM,0,1,0,0,0
BINT,1,0,0,1,0
BPRE,1,0,0,0,0
BPTS,0,1,1,0,0
BURM,1,0,1,1,0
BUSA,1,1,0,0,0
CFMG,0,1,1,0,0
CHMG,0,1,1,1,0
CIPM,1,0,0,1,0
CNSL,0,0,0,1,0
COMG,0,0,0,0,1
COPL,1,0,0,1,1
CPMG,1,0,0,0,0
CRIM,0,0,0,1,0
CSMG,1,0,0,0,0
CSOP,0,0,0,1,0
DAAN,1,0,0,1,0
DATM,1,0,0,1,0
DATS,1,0,0,1,0
DBAD,1,0,1,1,0
DBDS,1,1,0,0,0
DEMG,0,0,0,1,0
DEMM,0,0,0,1,0
DENG,1,0,0,1,0
DEPL,0,1,1,1,1
DESN,1,1,1,1,0
DGFS,0,0,0,1,0
DLMG,1,1,1,1,0
DTAN,1,1,0,0,0
EEXP,0,0,1,1,0
ETDL,1,0,0,1,0
ETMG,0,0,0,1,0
FEAS,1,1,0,0,0
FMIT,0,1,0,0,0
GOVN,1,1,0,1,0
HCEV,0,1,0,0,0
HWDE,0,0,0,1,0
IAMT,1,0,1,1,0
ICPM,1,0,0,0,0
IFDN,1,0,0,1,1
INAS,1,0,0,1,0
INCA,1,0,0,0,0
INOV,1,0,0,0,0
INVA,0,1,0,0,0
IRMG,1,0,0,1,0
ISCO,1,0,0,0,0
ITCM,0,1,0,1,0
ITMG,0,0,0,1,1
ITOP,0,0,1,1,1
ITSP,1,0,0,1,0
JADN,1,0,1,0,0
KNOW,1,0,1,1,0
LEDA,1,0,1,0,0
MEAS,1,1,1,1,0
METL,1,1,1,0,0
MLNG,1,0,0,0,0
NFTS,1,1,1,1,0
NTAS,0,0,0,1,0
NTDS,0,0,0,1,1
OCDV,1,1,1,0,0
OCEN,1,0,0,1,0
OCOP,0,0,0,1,0
ORDI,1,0,1,0,0
PBMG,1,1,1,1,0
PDSV,0,1,0,1,0
PEDP,1,0,0,1,0
PEMT,1,1,1,1,0
PENT,0,0,1,1,0
PGMG,0,1,0,1,0
POMG,0,1,0,0,0
PRMG,0,1,0,1,0
PROD,1,1,0,0,0
PROG,1,1,1,1,0
PRTS,1,0,0,0,0
QUAS,1,1,0,0,0
QUMG,1,0,0,1,0
RELM,0,1,1,1,1
REQM,1,1,1,1,0
RESC,0,1,0,1,0
RESD,0,1,0,1,0
RLMT,1,1,1,1,0
RMGT,1,0,0,0,0
RSCH,0,0,0,1,0
SCAD,1,0,1,1,0
SCTY,1,0,1,1,0
SEAC,0,1,0,0,0
SFAS,0,1,0,0,0
SFEN,0,1,0,0,0
SINT,0,1,1,1,0
SLEN,0,1,1,1,0
SORC,0,0,0,1,0
STMG,1,0,0,1,1
STPL,1,0,0,1,0
SUBF,0,0,0,1,0
SUPP,0,1,0,1,0
SWDN,1,1,1,1,0
SYSP,0,0,0,1,1
TEAC,0,0,0,1,0
TECH,0,0,0,1,0
TEST,1,1,1,1,0
THIN,0,0,0,1,0
TMCR,0,0,0,1,0
UNAN,0,1,0,0,0
URCH,0,1,0,0,0
USEV,0,1,0,0,0
USUP,1,1,1,1,0
VUAS,1,0,1,1,0
VURE,0,0,0,1,0
WFPL,0,0,0,1,0
