SFIA_Code,Level,Capability_ID,Capability_Description,Evidence_Type,Evidence_Metric
DESN,2,DESN_2_01,Apply defined system architecture standards and patterns,Architecture Task,% compliance with standards
DESN,2,DESN_2_02,"Document system components, interfaces, and constraints",Documentation Task,Completeness & clarity score
DESN,3,DESN_3_01,Design system components for well-defined problems,Design Task,Accuracy to requirements (%)
DESN,3,DESN_3_02,Analyse design constraints and assumptions,Analysis Task,Number of constraints correctly identified
DESN,3,DESN_3_03,Contribute to system-level design decisions,Meeting / Design Log,Contributions adopted (%)
DESN,4,DESN_4_01,Design end-to-end system architectures,Architecture Task,Review score / % of components mapped
DESN,4,DESN_4_02,Balance functional and non-functional requirements,Design Specification,% requirements addressed
DESN,4,DESN_4_03,Evaluate architectural risks and trade-offs,Risk Assessment,Number of risks mitigated correctly
DESN,5,DESN_5_01,Lead architecture design for complex systems,Leadership Task,Stakeholder approval rate (%)
DESN,5,DESN_5_02,Define integration approaches across subsystems,Integration Plan,Successful integrations / total planned
DESN,5,DESN_5_03,Guide architecture decisions across teams,Advisory / Meeting Log,Adoption rate of guidance (%)
DESN,6,DESN_6_01,Establish enterprise-wide architecture principles,Enterprise Architecture Task,Adoption across systems (%)
DESN,6,DESN_6_02,Define long-term system architecture strategy,Strategic Plan,Executive review approval (%)
SWDN,2,SWDN_2_01,Produce detailed designs for small software components,Design Task,% accuracy against requirements
SWDN,2,SWDN_2_02,Translate requirements into design artefacts,Documentation Task,Completeness & clarity of artefacts
SWDN,3,SWDN_3_01,Design application modules and data structures,Design Task,Correctness and adherence to spec (%)
SWDN,3,SWDN_3_02,Define component interfaces and interactions,Design Task,Interfaces correctly defined / total
SWDN,3,SWDN_3_03,Apply design patterns appropriately,Design Review,Patterns correctly applied (%)
SWDN,4,SWDN_4_01,Design complete software solutions,Architecture Task,Solution completeness & integration review score
SWDN,4,SWDN_4_02,"Ensure designs meet quality, security, and scalability needs",Design Review,# of requirements met / total
SWDN,4,SWDN_4_03,Validate designs against implementation constraints,Validation Task,Number of constraints correctly addressed
SWDN,5,SWDN_5_01,Lead software design across multiple systems,Leadership Task,Stakeholder approval rate (%)
SWDN,5,SWDN_5_02,Align software design with business objectives,Strategic Task,% of designs aligned with business goals
SWDN,6,SWDN_6_01,Define organisational software design standards,Governance Task,Adoption of standards across teams (%)
SWDN,6,SWDN_6_02,Govern software architecture consistency,Review / Audit,Number of systems compliant with standards
NTDS,2,NTDS_2_01,Assist in designing network configurations,Configuration Task,Accuracy of configuration against template (%)
NTDS,2,NTDS_2_02,Apply standard network design templates,Design Task,Correct application of templates (# correct / total)
NTDS,3,NTDS_3_01,Design network topologies to meet capacity needs,Topology Design,% of capacity requirements met
NTDS,3,NTDS_3_02,Select appropriate network protocols,Design Task,Correct protocol selection (%)
NTDS,3,NTDS_3_03,Address basic network security requirements,Security Task,# of security controls correctly applied
NTDS,4,NTDS_4_01,Design resilient and secure network architectures,Architecture Task,Review score on resilience & security
NTDS,4,NTDS_4_02,Evaluate network performance and risks,Performance / Risk Assessment,% of performance targets met; risks mitigated
NTDS,5,NTDS_5_01,Lead network architecture design for complex environments,Leadership Task,Stakeholder approval rate (%)
NTDS,5,NTDS_5_02,Define network integration strategies,Integration Plan,Successful integrations / total planned
NTDS,6,NTDS_6_01,Set strategic network architecture direction,Strategic Plan,Executive approval; alignment with organisational goals (%)
NTDS,6,NTDS_6_02,Define organisational network standards,Governance Task,Adoption rate of standards across systems (%)
IFDN,2,IFDN_2_01,Design infrastructure components using standard patterns,Design Task,% compliance with infrastructure patterns
IFDN,2,IFDN_2_02,Document infrastructure configurations,Documentation Task,Completeness & clarity of configuration docs
IFDN,3,IFDN_3_01,Design infrastructure solutions across environments,Architecture Task,Accuracy of design across environments (%)
IFDN,3,IFDN_3_02,"Select compute, storage, and platform services",Design Task,Correct selection of services (# correct / total)
IFDN,4,IFDN_4_01,Design scalable and secure infrastructure architectures,Architecture Task,Review score on scalability & security
IFDN,4,IFDN_4_02,Optimise infrastructure for cost and resilience,Optimization Task,Cost reduction % and resilience score
IFDN,5,IFDN_5_01,Lead infrastructure architecture for complex systems,Leadership Task,Stakeholder approval rate (%)
IFDN,5,IFDN_5_02,Define cloud and platform strategies,Strategic Plan,Adoption of strategy across systems (%)
IFDN,6,IFDN_6_01,Define enterprise infrastructure architecture vision,Strategic Plan,Alignment with organisational goals (%)
IFDN,6,IFDN_6_02,Govern infrastructure standards and roadmap,Governance Task,Adoption of standards and roadmap compliance (%)
PROG,2,PROG_2_01,Implement program logic using control structures,Coding Task,% correct on automated test
PROG,2,PROG_2_02,Debug and resolve straightforward code-level errors,Coding Task,Number of bugs fixed correctly
PROG,3,PROG_3_01,Develop modular software components,Coding Task,Correctness and adherence to spec (%)
PROG,3,PROG_3_02,Use debugging tools and tests to resolve issues,Debugging Task,# issues resolved using tools
PROG,3,PROG_3_03,Follow coding standards and version control practices,Code Review,% adherence to coding standards
PROG,4,PROG_4_01,Implement complex application features,Coding Task,Feature completeness & correctness (%)
PROG,4,PROG_4_02,Refactor code to improve performance and maintainability,Refactoring Task,Performance improvement %; maintainability rating
PROG,4,PROG_4_03,Review and improve code quality,Code Review,Code quality score from peer review
PROG,5,PROG_5_01,Lead implementation of critical software components,Leadership Task,Stakeholder approval rate (%)
PROG,5,PROG_5_02,Resolve systemic and architectural code issues,Debugging & Design Task,% critical issues resolved successfully
PROG,6,PROG_6_01,Set organisational programming standards,Governance Task,Adoption of standards across teams (%)
PROG,6,PROG_6_02,Define long-term technical direction,Strategic Task,Alignment with organisational goals (%)
SINT,2,SINT_2_01,Assist with integrating system components,Integration Task,% of components successfully integrated
SINT,2,SINT_2_02,Follow defined build and integration procedures,Process Task,Compliance with defined procedures (%)
SINT,3,SINT_3_01,Integrate hardware and software subsystems,Integration Task,Number of subsystems successfully integrated
SINT,3,SINT_3_02,Diagnose and resolve integration issues,Debugging Task,# of integration issues resolved correctly
SINT,4,SINT_4_01,Manage integration of complex systems,Management Task,Integration success rate (%)
SINT,4,SINT_4_02,Coordinate system builds and deployments,Coordination Task,% on-time and error-free builds/deployments
SINT,5,SINT_5_01,Lead system integration strategy,Leadership Task,Stakeholder approval rate (%)
SINT,5,SINT_5_02,Resolve cross-system dependencies,Problem Solving Task,% dependencies resolved without impacting delivery
SINT,6,SINT_6_01,Define enterprise integration frameworks,Strategic Task,Adoption rate of frameworks across systems (%)
SINT,6,SINT_6_02,Govern system integration standards,Governance Task,Compliance with integration standards (%)
PORT,2,PORT_2_01,Maintain software versions and configuration records,Configuration Task,% completeness and accuracy of version records
PORT,2,PORT_2_02,Follow release and deployment procedures,Process Task,% adherence to release procedures
PORT,3,PORT_3_01,Manage builds and environments,Build Task,% of successful builds without errors
PORT,3,PORT_3_02,Prepare software for release,Release Task,% of releases meeting readiness criteria
PORT,4,PORT_4_01,Define configuration management practices,Process Design,Review score / completeness of CM practices
PORT,4,PORT_4_02,Ensure deployment readiness,Validation Task,% deployments ready without issues
PORT,5,PORT_5_01,Lead release management across systems,Leadership Task,Stakeholder approval rate (%)
PORT,5,PORT_5_02,Coordinate multi-environment deployments,Coordination Task,% of deployments successfully coordinated
PORT,6,PORT_6_01,Define organisational release strategy,Strategic Task,Adoption rate of strategy across systems (%)
PORT,6,PORT_6_02,Govern configuration and deployment standards,Governance Task,Compliance with standards (%)
RESD,2,RESD_2_01,Develop basic embedded or real-time code,Coding Task,% correct execution on hardware tests
