Tags,Subcategory,Sub-area,SFIA_Code,Level,Skill,Capability_ID,Capability_Description,Evidence_Type,Evidence_Metric,What it covers
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,2,Systems design,DESN_2_01,Apply defined system architecture standards and patterns,Architecture Task,% compliance with standards,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,2,Systems design,DESN_2_02,"Document system components, interfaces, and constraints",Documentation Task,Completeness & clarity score,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,3,Systems design,DESN_3_01,Design system components for well-defined problems,Design Task,Accuracy to requirements (%),"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,3,Systems design,DESN_3_02,Analyse design constraints and assumptions,Analysis Task,Number of constraints correctly identified,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,3,Systems design,DESN_3_03,Contribute to system-level design decisions,Meeting / Design Log,Contributions adopted (%),"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,4,Systems design,DESN_4_01,Design end-to-end system architectures,Architecture Task,Review score / % of components mapped,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,4,Systems design,DESN_4_02,Balance functional and non-functional requirements,Design Specification,% requirements addressed,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,4,Systems design,DESN_4_03,Evaluate architectural risks and trade-offs,Risk Assessment,Number of risks mitigated correctly,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,5,Systems design,DESN_5_01,Lead architecture design for complex systems,Leadership Task,Stakeholder approval rate (%),"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,5,Systems design,DESN_5_02,Define integration approaches across subsystems,Integration Plan,Successful integrations / total planned,"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,5,Systems design,DESN_5_03,Guide architecture decisions across teams,Advisory / Meeting Log,Adoption rate of guidance (%),"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
"SOFTWARE, ARCH",Systems development,Design and architecture,DESN,6,Systems design,DESN_6_01,Establish enterprise-wide architecture principles,Enterprise Architecture Task,Adoption across systems (%),"Defining overall system structure, components, interfaces, and constraints to meet business and technical requirements"
